id,time,event,option1,sector,label,nr_jobs
1,29.0,Google,Intern Research,search,search,3
1,29.2521,UC Berkeley,Graduate Student Research,research,search,3
1,34.0849,Google,Sr Research Science,search,search,3
6,29.0,Google,Software Eng Intern,search,search,6
6,30.0,Google,Software Eng Intern,search,search,6
6,32.0027,Google,Software Eng Intern,search,search,6
6,32.2548,eBay,Software Eng Intern,ecommerce,search,6
6,32.5918,Baidu,Software Eng,search,search,6
6,33.5068,Google,Software Eng,search,search,6
8,31.0,Microsoft,Software Eng Intern,saas,research,3
8,32.0849,LinkedIn,Software Eng Intern,social_media,research,3
8,32.9178,UCLA,Graduate Teaching Assistant,research,research,3
10,22.0,NVIDIA,Sr Software Manage,hardware,search,2
10,31.0055,Google,Director Eng,search,search,2
12,29.0,ZTE,Staff Software Eng,hardware,hardware,3
12,32.4219,Huawei,Sr Software Eng,hardware,hardware,3
12,36.3397,Huawei,Sr Eng team Lead,hardware,hardware,3
14,28.0,Sun MicroSystem,Eng Manage,enterprise,hardware,10
14,35.5863,Sun MicroSystem,Director Eng,enterprise,hardware,10
14,37.5014,Sun MicroSystem,Director Market,enterprise,hardware,10
14,39.589,Sun MicroSystem,Sr Director Market,enterprise,hardware,10
14,41.4192,Sun MicroSystem,Sr Director Market,enterprise,hardware,10
14,42.5041,Sun MicroSystem,Sr Director Market,enterprise,hardware,10
14,45.011,Oracle,Director Product Manage,enterprise,hardware,10
14,45.5918,Nokia,Architect Advanced Dev Tech Group CTO,hardware,hardware,10
14,46.926,Nokia,Head Advanced Software Eng,hardware,hardware,10
14,48.1753,Nokia,Vice President Advanced Eng,hardware,hardware,10
15,26.0,Yahoo,Science,search,ecommerce,3
15,33.3342,Netflix,Sr Science,saas,ecommerce,3
15,36.1671,Amazon,Sr Research Science,ecommerce,ecommerce,3
18,24.0,Accenture,Strategy Consult,consulting,social_media,4
18,27.0027,Yahoo,Sr Manage Business Operation,search,social_media,4
18,30.0055,Yahoo,Sr Product Manage Yahoo Front page,search,social_media,4
18,31.0055,LinkedIn,Director Business Operation Analyst,social_media,social_media,4
